target,block,rung,learner,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,test_mse
tau2,Economic,iii_f1,elasticnet,0.957691784062664,0.9962463078199681,0.8484882367353147,0.8813370375094906,0.08282644673887185,0.02637278666950882,0.9925067058449187
tau2,Economic,iii_f1,rf,0.7371301078942275,1.0429621606510995,0.6087114911639583,0.8658612306369986,0.45663920403584457,-0.06707847347496654,1.08777006855001
tau2,Economic,iii_f1,gbm,0.527243104014367,1.0950203195889734,0.4266401139350749,0.8965176191723963,0.7220147092692955,-0.17626076408746294,1.1990695003127374
tau2,Economic,iv_kfac,ridge,0.5486006568249071,0.5733118012271199,0.4024730882072096,0.4255200384410169,0.6990373193312805,0.6775658616025024,0.3286864214262846
tau2,Economic,iv_kfac,elasticnet,0.5514201858216379,0.5748388858907398,0.4124135808210578,0.4347355229362755,0.6959357786684304,0.6758458900655222,0.33043974473210697
tau2,Economic,iv_kfac,rf,0.4254009510828252,0.8068141297424543,0.32148191205900195,0.6108842920186796,0.8190340308178278,0.3614333323328438,0.6509490399520739
tau2,Economic,iv_kfac,gbm,0.26375133449749644,0.8159098910726515,0.18315336556200423,0.6371194258488603,0.9304352335507897,0.34695418539580825,0.6657089503501861
tau2,Economic,v_kfac_cov,ridge,0.5284349203630682,0.605644074221558,0.3973026511609501,0.45976625295143264,0.7207565349408778,0.6401726262837519,0.366804744639688
tau2,Economic,v_kfac_cov,elasticnet,0.5468998474295697,0.5930224124614865,0.4186450154360067,0.4550833536854501,0.7009005568815134,0.655014001847382,0.3516755816816414
tau2,Economic,v_kfac_cov,rf,0.41201060703779835,0.7152973579076817,0.3092283442254915,0.5532011968246962,0.8302472596883449,0.49808231741411335,0.5116503102297101
tau2,Economic,v_kfac_cov,gbm,0.2349546553898597,0.7301569129204194,0.17753846182912225,0.5579048309549877,0.9447963099106322,0.4770120806782392,0.533129117485477
ifbench,Instruction-following,i_date,ridge,0.8131566843515631,0.8286152010805801,0.660842166734307,0.6758627745852621,0.33877620669437236,0.3380804432693977,0.6866031514618102
ifbench,Instruction-following,i_date,elasticnet,0.8133099919895307,0.8294122018508288,0.6633570236519487,0.6784706913568644,0.3385268569299894,0.3368065006548663,0.6879246005790399
ifbench,Instruction-following,i_date,rf,0.4910679617757871,0.8132470240356785,0.3745035263486549,0.6190580795904984,0.7588522569173741,0.36240575902266137,0.6613707221028874
ifbench,Instruction-following,i_date,gbm,0.4396298012635879,0.7768920873303732,0.3354593858992548,0.5849008157192275,0.8067256378409382,0.4181368997943432,0.6035613153565441
ifbench,Instruction-following,ii_meanidx,ridge,0.6576151335923406,0.6810962864687753,0.5669331295915433,0.5818187537649844,0.567542336070328,0.5527849142561367,0.463892151441556
ifbench,Instruction-following,ii_meanidx,elasticnet,0.6576367346814853,0.679435180218405,0.5672326915729994,0.5813163328044494,0.5675139251974736,0.554963654339057,0.4616321641184165
ifbench,Instruction-following,ii_meanidx,rf,0.43299409436738,0.6326220654118762,0.34377554108655445,0.5060187345714485,0.8125161142429724,0.6141770194583487,0.40021067764598817
ifbench,Instruction-following,ii_meanidx,gbm,0.30991247789615434,0.671320826375932,0.24673788833485413,0.5321218904606817,0.9039542560442656,0.565530132742857,0.45067165192606423
ifbench,Instruction-following,iii_f1,ridge,0.9416283333738871,0.949096787468503,0.8401861181744988,0.8449321380329047,0.11333608178751564,0.13159877580510004,0.9007847119830327
ifbench,Instruction-following,iii_f1,elasticnet,0.9422146997030852,0.9438625885826062,0.8414658180354694,0.8420315808742052,0.11223145966342474,0.14115070148654907,0.8908765861258582
ifbench,Instruction-following,iii_f1,rf,0.7415380874140447,1.0045612810136533,0.6193111152393133,0.8612478671076481,0.4501212649143205,0.027135647503939153,1.009143367311792
ifbench,Instruction-following,iii_f1,gbm,0.525997229110801,1.1388345931004475,0.4304251518640503,0.9404582635646568,0.7233269149677595,-0.25031868597009144,1.2969442304422618
ifbench,Instruction-following,iv_kfac,ridge,0.5541453873809973,0.5876756271224921,0.47163712874551805,0.5015032752956027,0.6929228896443644,0.6670532506445208,0.34536264271381434
ifbench,Instruction-following,iv_kfac,elasticnet,0.5563332853166909,0.5915494822948965,0.47850154487353747,0.5077918977613292,0.6904932756487374,0.6626493296567735,0.34993079000335997
ifbench,Instruction-following,iv_kfac,rf,0.32561899487183166,0.7872165698227239,0.2525215745459739,0.6295937684017808,0.8939722701786581,0.4025688349377863,0.6197099278034556
ifbench,Instruction-following,iv_kfac,gbm,0.2252206723140339,0.8217658128440863,0.1635254878915353,0.6470416313261292,0.9492756487624145,0.3489781576849872,0.6752990511593019
ifbench,Instruction-following,v_kfac_cov,ridge,0.5042368900040228,0.5513664557626595,0.42135055750183775,0.4641071993668013,0.7457451587590709,0.706924103695622,0.30400496854027675
ifbench,Instruction-following,v_kfac_cov,elasticnet,0.508596813404899,0.5512740130227449,0.42831692504246205,0.46720956833346267,0.7413292813943824,0.7070223703470446,0.3039030374342015
ifbench,Instruction-following,v_kfac_cov,rf,0.36104802733381147,0.5915781235353487,0.2744285432963218,0.4535363547546056,0.8696443219583633,0.662616661635373,0.3499646762456043
ifbench,Instruction-following,v_kfac_cov,gbm,0.208615107620728,0.6435839348995657,0.15931898570503902,0.4929747232358199,0.9564797368723921,0.6006903464015128,0.4142002812608084
lcr,Long-context,i_date,ridge,0.8390889196303585,0.8566023606343324,0.6712867886911371,0.6795536032562944,0.2959297849535578,0.2989241088436957,0.7337676042443108
lcr,Long-context,i_date,elasticnet,0.8392711814055558,0.8571233323205227,0.6735788557779121,0.681930981609432,0.2956238840621227,0.298071083513181,0.7346604068082373
lcr,Long-context,i_date,rf,0.6027653024747542,0.846472746721504,0.45793633523345284,0.6316085142877793,0.636673990132518,0.3154069924850047,0.7165161109422474
lcr,Long-context,i_date,gbm,0.4531680895230196,0.8772661748638285,0.3536957411250996,0.6156154018106121,0.7946386826380565,0.26469203949762,0.7695959415602133
lcr,Long-context,ii_meanidx,ridge,0.5105151401147658,0.5287511004360057,0.4175443488689646,0.4299228364053768,0.739374291713601,0.732878363097546,0.279577726212287
lcr,Long-context,ii_meanidx,elasticnet,0.5113498658142898,0.5293194784014389,0.4189045516215497,0.43016193551528525,0.7385213147317078,0.7323037726913867,0.28017911021517133
lcr,Long-context,ii_meanidx,rf,0.3399748419012798,0.47412594167278405,0.23251277317030983,0.3149476647475217,0.8844171068741998,0.7852199518247538,0.2247954085671042
lcr,Long-context,ii_meanidx,gbm,0.20516169608356766,0.5368846363498039,0.15063654066344354,0.3651718377703899,0.9579086784601138,0.7245971365829161,0.2882451127484611
lcr,Long-context,iii_f1,ridge,0.984308425042068,1.011580681194954,0.8606461920576187,0.8700405749331318,0.031136924391203635,0.022295638839212373,1.023295474566847
lcr,Long-context,iii_f1,elasticnet,0.9907561185755739,1.0255983888178106,0.8709128563245132,0.8909830891738721,0.018402313505063272,-0.004988653983045932,1.0518520551456891
lcr,Long-context,iii_f1,rf,0.8254367833504314,1.113698507571411,0.6908046195156275,0.9217636947917501,0.318654116692093,-0.18506391536373257,1.240324365766788
lcr,Long-context,iii_f1,gbm,0.5660903371420393,1.1770907185693011,0.4599961016855046,0.9298044184464955,0.6795417301944123,-0.32381217048481714,1.385542559741994
lcr,Long-context,iv_kfac,ridge,0.4109767959929119,0.4547097833129195,0.2923978556133559,0.3137000962030843,0.8310980731554004,0.8024508817133609,0.2067609870404822
lcr,Long-context,iv_kfac,elasticnet,0.41519929580570053,0.458687926448344,0.29347679367858137,0.31572451929379336,0.8276095447624504,0.798979144677636,0.21039461386948144
lcr,Long-context,iv_kfac,rf,0.22818575507196692,0.71833811853631,0.16954212924825782,0.515322792566096,0.9479312611822364,0.5069802415522178,0.5160096525422858
lcr,Long-context,iv_kfac,gbm,0.1186774606459827,0.6792589219661657,0.06920634213322145,0.5004529390329483,0.9859156603346212,0.5591638489002514,0.4613926830706376
lcr,Long-context,v_kfac_cov,ridge,0.39377553447883534,0.4562230989636277,0.27745027133041217,0.30976334270196854,0.8449408284459076,0.8011337706378625,0.20813951602797606
