target,rung,learner,selected_hyperparameters,modal_count
gdpval_elo,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",5/5
gdpval_elo,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
gdpval_elo,iii_f1,ridge,"{""alpha"": 30}",3/5
gdpval_elo,iii_f1,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",3/5
gdpval_elo,iii_f1,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
gdpval_elo,iii_f1,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
gdpval_elo,iv_kfac,ridge,"{""alpha"": 0.03}",4/5
gdpval_elo,iv_kfac,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
gdpval_elo,iv_kfac,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",5/5
gdpval_elo,iv_kfac,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",2/5
gdpval_elo,v_kfac_cov,ridge,"{""alpha"": 0.30000000000000004}",2/5
gdpval_elo,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.8}",3/5
gdpval_elo,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",3/5
gdpval_elo,v_kfac_cov,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",3/5
terminalbenchV21,i_date,ridge,"{""alpha"": 3}",3/5
terminalbenchV21,i_date,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
terminalbenchV21,i_date,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
terminalbenchV21,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
terminalbenchV21,ii_meanidx,ridge,"{""alpha"": 0.03}",3/5
terminalbenchV21,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
terminalbenchV21,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",4/5
terminalbenchV21,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
terminalbenchV21,iii_f1,ridge,"{""alpha"": 10}",2/5
terminalbenchV21,iii_f1,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
terminalbenchV21,iii_f1,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",5/5
terminalbenchV21,iii_f1,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
terminalbenchV21,iv_kfac,ridge,"{""alpha"": 0.30000000000000004}",3/5
terminalbenchV21,iv_kfac,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
terminalbenchV21,iv_kfac,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",5/5
terminalbenchV21,iv_kfac,gbm,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",4/5
terminalbenchV21,v_kfac_cov,ridge,"{""alpha"": 0.1}",3/5
terminalbenchV21,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",2/5
terminalbenchV21,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",5/5
terminalbenchV21,v_kfac_cov,gbm,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",2/5
tauBanking,i_date,ridge,"{""alpha"": 3}",5/5
tauBanking,i_date,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
tauBanking,i_date,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",5/5
tauBanking,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
tauBanking,ii_meanidx,ridge,"{""alpha"": 0.03}",5/5
tauBanking,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
tauBanking,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",4/5
tauBanking,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
tauBanking,iii_f1,ridge,"{""alpha"": 30}",4/5
tauBanking,iii_f1,elasticnet,"{""alpha"": 0.30000000000000004, ""l1_ratio"": 0.2}",3/5
tauBanking,iii_f1,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",5/5
tauBanking,iii_f1,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
tauBanking,iv_kfac,ridge,"{""alpha"": 0.03}",3/5
tauBanking,iv_kfac,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
tauBanking,iv_kfac,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2/5
tauBanking,iv_kfac,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",2/5
tauBanking,v_kfac_cov,ridge,"{""alpha"": 1}",3/5
tauBanking,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",3/5
tauBanking,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",2/5
tauBanking,v_kfac_cov,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",3/5
